Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",129.25,133.94,122.25,129.45,"94,273","166,587,000"
"Dec 01, 2017",111.32,132.90,106.27,129.36,"115,651","143,477,000"
"Nov 30, 2017",113.29,125.95,104.80,111.90,"99,073","146,017,000"
"Nov 29, 2017",135.62,145.52,107.91,111.59,"199,208","174,797,000"
"Nov 28, 2017",139.47,140.32,133.06,135.73,"132,245","179,757,000"
"Nov 27, 2017",136.75,144.40,134.95,139.12,"202,692","176,251,000"
"Nov 26, 2017",122.53,140.13,118.52,137.10,"218,584","157,921,000"
"Nov 25, 2017",118.80,124.30,115.78,122.57,"92,245","153,111,000"
"Nov 24, 2017",113.70,126.34,109.92,118.81,"182,891","146,546,000"
"Nov 23, 2017",111.80,120.27,110.17,114.89,"129,045","144,090,000"
"Nov 22, 2017",112.08,114.36,109.37,112.05,"96,648","144,457,000"
"Nov 21, 2017",112.84,116.25,103.97,111.81,"57,835","145,434,000"
"Nov 20, 2017",108.76,116.62,106.28,112.81,"101,612","140,175,000"
"Nov 19, 2017",114.01,120.33,105.64,108.81,"226,569","146,943,000"
"Nov 18, 2017",105.93,130.09,101.38,113.60,"448,677","136,526,000"
"Nov 17, 2017",106.70,110.72,102.50,106.34,"60,285","137,524,000"
"Nov 16, 2017",107.33,121.93,102.69,106.86,"318,931","138,327,000"
"Nov 15, 2017",111.06,115.69,102.49,106.00,"127,238","143,145,000"
"Nov 14, 2017",109.25,112.85,108.00,110.64,"41,560","140,803,000"
"Nov 13, 2017",101.30,116.67,99.44,109.01,"189,394","130,566,000"
"Nov 12, 2017",112.42,114.20,94.64,101.25,"159,577","144,890,000"
"Nov 11, 2017",108.81,120.61,106.92,112.50,"223,755","140,242,000"
"Nov 10, 2017",134.77,140.18,103.05,110.18,"278,010","173,696,000"
"Nov 09, 2017",132.22,139.76,124.42,129.23,"179,166","170,414,000"
"Nov 08, 2017",130.30,144.63,115.41,131.82,"352,872","167,942,000"
"Nov 07, 2017",117.73,131.51,117.73,130.46,"138,078","151,733,000"
"Nov 06, 2017",113.29,132.26,106.40,118.15,"216,527","146,013,000"
"Nov 05, 2017",106.95,113.04,104.59,113.04,"78,108","137,841,000"
"Nov 04, 2017",108.92,113.44,105.84,107.14,"38,145","140,376,000"
"Nov 03, 2017",105.54,110.44,100.45,109.18,"114,452","136,022,000"
"Nov 02, 2017",94.34,110.81,89.09,106.20,"189,843","121,587,000"
"Nov 01, 2017",103.81,103.81,92.69,94.23,"60,098","133,790,000"
"Oct 31, 2017",102.59,112.69,101.53,102.99,"204,122","132,227,000"
"Oct 30, 2017",96.28,102.75,93.43,102.66,"53,259","124,087,000"
"Oct 29, 2017",87.30,101.94,86.53,95.84,"100,048","112,515,000"
"Oct 28, 2017",86.21,92.69,85.86,87.42,"125,362","111,111,000"
"Oct 27, 2017",83.22,86.52,81.91,85.98,"25,573","107,262,000"
"Oct 26, 2017",84.58,89.73,81.57,83.21,"30,567","109,018,000"
"Oct 25, 2017",86.29,88.10,82.12,84.60,"49,788","111,222,000"
"Oct 24, 2017",74.96,89.72,70.99,86.25,"68,714","96,618,400"
"Oct 23, 2017",86.00,87.00,72.98,75.12,"97,471","110,847,000"
"Oct 22, 2017",78.07,86.41,75.94,85.56,"47,482","100,617,000"
"Oct 21, 2017",84.31,84.74,74.41,78.04,"77,610","108,670,000"
"Oct 20, 2017",87.10,90.34,81.56,84.50,"126,334","112,260,000"
"Oct 19, 2017",87.64,91.31,82.32,87.07,"96,586","112,950,000"
"Oct 18, 2017",83.59,89.05,77.18,87.37,"97,885","107,736,000"
"Oct 17, 2017",86.60,88.79,82.30,83.24,"82,891","111,610,000"
"Oct 16, 2017",87.25,92.71,83.40,86.53,"128,921","112,452,000"
"Oct 15, 2017",85.96,98.93,81.48,87.22,"242,811","110,789,000"
"Oct 14, 2017",85.87,87.66,82.23,85.81,"66,400","110,670,000"
"Oct 13, 2017",83.97,111.57,76.14,85.14,"573,952","108,219,000"
"Oct 12, 2017",87.82,88.43,81.97,83.71,"100,320","113,182,000"
"Oct 11, 2017",79.39,90.26,78.02,88.92,"81,839","102,323,000"
"Oct 10, 2017",75.54,82.84,75.54,78.35,"71,191","97,354,600"
"Oct 09, 2017",80.63,86.81,74.70,75.53,"303,592","103,919,000"
"Oct 08, 2017",92.50,94.14,80.38,83.88,"415,576","119,220,000"
"Oct 07, 2017",89.89,93.64,85.23,92.74,"65,994","115,860,000"
"Oct 06, 2017",91.68,93.89,88.50,89.87,"56,116","118,158,000"
"Oct 05, 2017",93.36,94.36,89.27,91.67,"70,399","120,328,000"
"Oct 04, 2017",98.97,100.21,91.92,93.28,"46,068","127,554,000"
"Oct 03, 2017",98.19,101.41,91.95,98.73,"88,860","126,550,000"
"Oct 02, 2017",108.75,110.10,97.93,98.19,"150,259","140,160,000"
"Oct 01, 2017",113.46,114.11,99.43,108.70,"448,996","146,239,000"
"Sep 30, 2017",93.89,151.02,93.38,114.07,"2,303,420","121,011,000"
"Sep 29, 2017",90.88,95.56,87.26,93.76,"116,231","117,131,000"
"Sep 28, 2017",99.06,100.84,88.40,90.95,"190,735","127,672,000"
"Sep 27, 2017",91.64,100.55,91.64,99.06,"49,426","118,114,000"
"Sep 26, 2017",91.51,94.68,89.51,91.90,"143,960","117,939,000"
"Sep 25, 2017",82.60,92.63,82.60,91.51,"84,323","106,456,000"
"Sep 24, 2017",84.61,84.98,80.36,82.68,"30,720","109,052,000"
"Sep 23, 2017",78.75,87.64,76.85,84.62,"128,058","101,503,000"
"Sep 22, 2017",77.98,84.59,75.00,78.12,"254,022","100,505,000"
"Sep 21, 2017",94.41,95.65,76.23,78.32,"127,841","121,684,000"
"Sep 20, 2017",92.76,96.88,88.61,94.87,"60,051","119,556,000"
"Sep 19, 2017",104.56,104.56,91.47,92.14,"121,525","134,763,000"
"Sep 18, 2017",83.86,105.45,83.86,104.31,"254,340","108,081,000"
"Sep 17, 2017",79.83,92.59,72.69,83.50,"364,554","102,895,000"
"Sep 16, 2017",80.10,83.33,72.22,79.87,"146,183","103,241,000"
"Sep 15, 2017",85.68,86.69,55.40,81.29,"691,107","110,435,000"
"Sep 14, 2017",79.19,112.68,76.93,84.30,"1,859,690","102,069,000"
"Sep 13, 2017",90.25,90.57,73.95,79.20,"199,644","116,318,000"
"Sep 12, 2017",95.22,101.28,89.88,91.41,"170,874","122,729,000"
"Sep 11, 2017",106.61,107.75,92.53,95.39,"205,751","137,402,000"
"Sep 10, 2017",118.55,118.90,94.18,108.79,"347,338","152,796,000"
"Sep 09, 2017",130.04,132.33,116.09,119.35,"256,656","167,599,000"
"Sep 08, 2017",153.39,172.05,121.96,129.60,"1,350,250","197,701,000"
"Sep 07, 2017",143.43,163.39,130.03,153.39,"618,823","184,863,000"
"Sep 06, 2017",131.29,152.10,130.93,143.07,"1,376,830","169,214,000"
"Sep 05, 2017",101.67,134.14,87.12,131.14,"990,051","131,043,000"
"Sep 04, 2017",118.05,137.01,94.35,102.23,"2,720,070","152,143,000"
"Sep 03, 2017",73.13,120.72,71.99,119.28,"3,290,190","94,257,700"
"Sep 02, 2017",65.77,80.64,59.02,73.45,"530,982","84,769,700"
"Sep 01, 2017",66.71,67.62,63.65,65.44,"133,926","85,977,300"
"Aug 31, 2017",64.92,67.53,62.71,66.70,"48,839","83,670,500"
"Aug 30, 2017",63.79,67.70,62.45,65.07,"71,444","82,216,300"
"Aug 29, 2017",65.65,71.90,63.51,64.13,"133,914","84,612,300"
"Aug 28, 2017",60.66,73.18,58.29,65.56,"273,247","78,185,500"
"Aug 27, 2017",60.08,61.29,58.52,60.73,"63,504","77,429,700"
"Aug 26, 2017",58.85,60.61,57.13,60.13,"89,867","75,855,100"
"Aug 25, 2017",57.49,60.36,57.22,58.84,"71,236","74,101,100"
"Aug 24, 2017",55.21,57.89,54.41,57.59,"81,967","71,155,500"
"Aug 23, 2017",53.87,56.39,53.07,55.20,"80,499","69,436,700"
"Aug 22, 2017",55.98,56.14,50.52,53.98,"73,268","72,156,400"
"Aug 21, 2017",54.25,57.92,51.56,55.85,"116,365","69,919,700"
"Aug 20, 2017",52.01,55.97,50.76,54.99,"84,331","67,034,800"
"Aug 19, 2017",53.04,54.34,50.17,52.25,"106,486","68,366,300"
"Aug 18, 2017",58.25,60.15,52.37,53.03,"73,933","75,078,000"
