Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",0.147612,0.151617,0.135892,0.137244,"10,550,100","384,286,000"
"Dec 01, 2017",0.135962,0.148951,0.131239,0.147392,"11,363,100","353,942,000"
"Nov 30, 2017",0.136377,0.149749,0.121987,0.135710,"14,028,400","355,006,000"
"Nov 29, 2017",0.175590,0.177201,0.135543,0.135587,"43,948,500","457,061,000"
"Nov 28, 2017",0.150549,0.175528,0.150287,0.175528,"57,955,600","391,861,000"
"Nov 27, 2017",0.136739,0.152397,0.136624,0.151971,"28,824,000","355,902,000"
"Nov 26, 2017",0.133507,0.140955,0.133160,0.136213,"12,225,300","347,473,000"
"Nov 25, 2017",0.133776,0.136077,0.129840,0.133966,"10,512,500","348,159,000"
"Nov 24, 2017",0.139704,0.140403,0.126249,0.134270,"6,764,540","363,579,000"
"Nov 23, 2017",0.136735,0.146217,0.136735,0.139836,"7,777,270","355,844,000"
"Nov 22, 2017",0.143670,0.146424,0.128626,0.137132,"9,361,370","373,886,000"
"Nov 21, 2017",0.126044,0.150972,0.117517,0.143889,"27,800,500","328,009,000"
"Nov 20, 2017",0.102900,0.127827,0.102009,0.126175,"12,133,200","267,774,000"
"Nov 19, 2017",0.100716,0.103897,0.098919,0.102424,"5,358,270","262,084,000"
"Nov 18, 2017",0.092262,0.103915,0.092239,0.100355,"7,497,610","240,080,000"
"Nov 17, 2017",0.083911,0.096564,0.079235,0.092466,"6,980,480","218,345,000"
"Nov 16, 2017",0.089733,0.091939,0.083372,0.083372,"4,489,410","233,490,000"
"Nov 15, 2017",0.084215,0.090707,0.084215,0.089525,"4,363,190","219,126,000"
"Nov 14, 2017",0.081412,0.085834,0.080386,0.083756,"2,484,090","211,829,000"
"Nov 13, 2017",0.079650,0.086169,0.076766,0.081149,"4,985,650","207,241,000"
"Nov 12, 2017",0.082207,0.083264,0.072729,0.079113,"5,209,650","213,887,000"
"Nov 11, 2017",0.074467,0.087880,0.074467,0.082099,"7,338,960","193,747,000"
"Nov 10, 2017",0.081859,0.082040,0.070996,0.074902,"4,315,850","212,973,000"
"Nov 09, 2017",0.067857,0.083363,0.067699,0.082825,"6,045,660","176,540,000"
"Nov 08, 2017",0.064952,0.070106,0.062525,0.067927,"5,731,830","168,980,000"
"Nov 07, 2017",0.059660,0.066134,0.059233,0.065026,"2,537,470","155,208,000"
"Nov 06, 2017",0.059221,0.060554,0.057095,0.059709,"2,471,030","154,063,000"
"Nov 05, 2017",0.059183,0.061036,0.057901,0.059444,"2,412,940","153,962,000"
"Nov 04, 2017",0.056680,0.060358,0.053824,0.059235,"3,531,950","147,448,000"
"Nov 03, 2017",0.057525,0.059322,0.052161,0.056713,"4,045,720","149,642,000"
"Nov 02, 2017",0.063584,0.064167,0.054328,0.057189,"8,547,670","165,401,000"
"Nov 01, 2017",0.074201,0.074857,0.063465,0.063820,"7,607,650","193,013,000"
"Oct 31, 2017",0.056716,0.079228,0.056026,0.073222,"7,501,160","147,529,000"
"Oct 30, 2017",0.054848,0.057696,0.054714,0.056903,"1,637,550","142,668,000"
"Oct 29, 2017",0.052020,0.055904,0.051666,0.054771,"2,438,550","135,309,000"
"Oct 28, 2017",0.053070,0.053700,0.051422,0.051667,"1,419,660","138,039,000"
"Oct 27, 2017",0.052322,0.054169,0.051481,0.052926,"1,925,930","136,089,000"
"Oct 26, 2017",0.052486,0.053698,0.051257,0.052257,"1,518,030","136,515,000"
"Oct 25, 2017",0.053255,0.053940,0.050027,0.052290,"2,169,220","138,510,000"
"Oct 24, 2017",0.049490,0.055471,0.049339,0.053069,"3,605,990","128,719,000"
"Oct 23, 2017",0.052418,0.052679,0.049198,0.049859,"2,640,720","136,333,000"
"Oct 22, 2017",0.054282,0.054756,0.050423,0.052607,"2,043,700","141,178,000"
"Oct 21, 2017",0.049909,0.055224,0.048904,0.054017,"3,276,450","129,802,000"
"Oct 20, 2017",0.052326,0.052938,0.048214,0.049977,"3,600,350","136,087,000"
"Oct 19, 2017",0.056345,0.056345,0.051545,0.052308,"2,530,390","146,537,000"
"Oct 18, 2017",0.055196,0.057647,0.049644,0.056197,"4,866,460","143,546,000"
"Oct 17, 2017",0.055940,0.063722,0.054212,0.055195,"5,001,530","145,480,000"
"Oct 16, 2017",0.050543,0.069259,0.049460,0.056209,"14,228,700","131,441,000"
"Oct 15, 2017",0.050936,0.052812,0.049676,0.050607,"2,590,960","132,459,000"
"Oct 14, 2017",0.053837,0.054447,0.050075,0.051105,"3,126,770","140,000,000"
"Oct 13, 2017",0.049521,0.054990,0.046058,0.053578,"6,688,750","128,776,000"
"Oct 12, 2017",0.049085,0.051315,0.048029,0.049118,"5,559,870","127,639,000"
"Oct 11, 2017",0.048050,0.051951,0.047272,0.049041,"3,530,610","124,944,000"
"Oct 10, 2017",0.043839,0.048696,0.043335,0.048051,"4,656,710","113,992,000"
"Oct 09, 2017",0.053704,0.054605,0.043133,0.043890,"10,708,300","139,642,000"
"Oct 08, 2017",0.057513,0.058681,0.052464,0.053516,"4,696,640","149,546,000"
"Oct 07, 2017",0.060209,0.061023,0.055189,0.057954,"5,734,920","156,553,000"
"Oct 06, 2017",0.058670,0.061745,0.057728,0.060176,"6,227,090","152,546,000"
"Oct 05, 2017",0.053377,0.060076,0.050107,0.059119,"10,133,600","138,784,000"
"Oct 04, 2017",0.062151,0.063449,0.052798,0.053455,"13,263,100","161,596,000"
"Oct 03, 2017",0.078030,0.078030,0.059682,0.061949,"28,772,800","202,877,000"
"Oct 02, 2017",0.081802,0.085434,0.077330,0.078187,"8,370,540","212,681,000"
"Oct 01, 2017",0.085443,0.086477,0.080831,0.081689,"5,604,440","222,142,000"
"Sep 30, 2017",0.082414,0.086796,0.081820,0.085699,"6,746,380","214,268,000"
"Sep 29, 2017",0.087383,0.089086,0.078784,0.082354,"6,429,120","227,185,000"
"Sep 28, 2017",0.089231,0.090051,0.084912,0.087078,"8,891,850","231,989,000"
"Sep 27, 2017",0.079076,0.090270,0.078495,0.088603,"7,913,760","205,584,000"
"Sep 26, 2017",0.080958,0.081607,0.077983,0.079328,"4,983,650","210,472,000"
"Sep 25, 2017",0.069534,0.081899,0.069508,0.081056,"6,815,120","180,737,000"
"Sep 24, 2017",0.070606,0.070724,0.069476,0.069554,"10,816,700","183,523,000"
"Sep 23, 2017",0.069171,0.071124,0.069101,0.070597,"12,095,400","179,794,000"
"Sep 22, 2017",0.069104,0.070492,0.067607,0.069211,"13,451,900","179,620,000"
"Sep 21, 2017",0.078829,0.079653,0.069014,0.069107,"13,709,200","204,899,000"
"Sep 20, 2017",0.079238,0.085439,0.072854,0.079108,"11,821,500","205,962,000"
"Sep 19, 2017",0.090392,0.091317,0.078256,0.079411,"15,002,500","234,954,000"
"Sep 18, 2017",0.071341,0.092933,0.071341,0.089771,"26,985,800","185,436,000"
"Sep 17, 2017",0.072132,0.073378,0.062654,0.071629,"15,922,100","187,491,000"
"Sep 16, 2017",0.075281,0.082496,0.066836,0.072316,"38,460,900","195,675,000"
"Sep 15, 2017",0.076981,0.087055,0.047565,0.075739,"88,607,000","200,090,000"
"Sep 14, 2017",0.112633,0.114876,0.076380,0.076380,"35,190,400","292,752,000"
"Sep 13, 2017",0.119708,0.119905,0.106191,0.113004,"25,851,900","311,125,000"
"Sep 12, 2017",0.113215,0.131028,0.112835,0.120208,"58,264,100","294,250,000"
"Sep 11, 2017",0.101733,0.116310,0.099876,0.113170,"35,752,100","264,408,000"
"Sep 10, 2017",0.110708,0.111198,0.092493,0.101345,"28,820,800","287,729,000"
"Sep 09, 2017",0.110580,0.116301,0.104782,0.111051,"28,831,000","287,392,000"
"Sep 08, 2017",0.142939,0.142939,0.102576,0.110796,"54,300,000","371,487,000"
"Sep 07, 2017",0.159343,0.159452,0.141389,0.142661,"37,901,600","414,112,000"
"Sep 06, 2017",0.122086,0.160140,0.120120,0.160140,"64,086,000","317,291,000"
"Sep 05, 2017",0.110890,0.124277,0.090442,0.122084,"34,836,500","288,188,000"
"Sep 04, 2017",0.141510,0.141510,0.105826,0.110996,"31,227,600","367,758,000"
"Sep 03, 2017",0.148761,0.151354,0.134637,0.141440,"16,930,500","386,596,000"
"Sep 02, 2017",0.170022,0.183541,0.140757,0.148976,"70,518,200","441,839,000"
"Sep 01, 2017",0.147221,0.170032,0.144871,0.169329,"60,662,100","382,578,000"
"Aug 31, 2017",0.144792,0.149676,0.142954,0.147028,"19,579,900","376,259,000"
"Aug 30, 2017",0.140553,0.148390,0.131692,0.144718,"28,297,600","365,237,000"
"Aug 29, 2017",0.140281,0.142353,0.138078,0.140929,"21,383,200","364,523,000"
"Aug 28, 2017",0.138182,0.144469,0.132575,0.139928,"21,938,300","359,061,000"
"Aug 27, 2017",0.137913,0.137913,0.134359,0.137616,"13,419,600","358,357,000"
"Aug 26, 2017",0.137591,0.140007,0.134091,0.137325,"18,563,600","357,512,000"
"Aug 25, 2017",0.136060,0.138075,0.133137,0.137379,"16,915,200","353,527,000"
"Aug 24, 2017",0.138437,0.141652,0.136021,0.136287,"19,199,900","359,696,000"
"Aug 23, 2017",0.131846,0.151112,0.130727,0.137956,"54,331,200","342,567,000"
"Aug 22, 2017",0.130453,0.135640,0.123099,0.132207,"25,263,200","338,940,000"
"Aug 21, 2017",0.132198,0.132720,0.124028,0.129772,"19,724,100","343,467,000"
"Aug 20, 2017",0.126000,0.135464,0.122783,0.132314,"25,872,000","327,357,000"
"Aug 19, 2017",0.127984,0.133560,0.119165,0.126344,"22,371,900","332,505,000"
"Aug 18, 2017",0.134378,0.142048,0.128123,0.128149,"33,016,000","349,112,000"
"Aug 17, 2017",0.141768,0.142064,0.133211,0.134528,"38,984,600","368,306,000"
"Aug 16, 2017",0.150126,0.150126,0.141612,0.141804,"23,043,800","390,011,000"
"Aug 15, 2017",0.146546,0.154169,0.140237,0.150118,"57,077,200","380,704,000"
"Aug 14, 2017",0.157031,0.167903,0.148383,0.148383,"73,389,600","407,942,000"
"Aug 13, 2017",0.171608,0.171608,0.152669,0.157240,"47,818,800","445,804,000"
"Aug 12, 2017",0.189864,0.189864,0.170200,0.171856,"56,186,200","493,223,000"
"Aug 11, 2017",0.160253,0.195038,0.159663,0.190209,"117,253,000","416,295,000"
"Aug 10, 2017",0.151880,0.185412,0.148250,0.159937,"121,892,000","394,538,000"
"Aug 09, 2017",0.159481,0.160668,0.150257,0.151685,"35,970,700","414,279,000"
"Aug 08, 2017",0.154898,0.165316,0.153435,0.159335,"63,444,900","402,369,000"
"Aug 07, 2017",0.152778,0.157722,0.146990,0.155597,"52,714,900","396,857,000"
"Aug 06, 2017",0.169738,0.175580,0.151918,0.152057,"68,798,900","440,907,000"
"Aug 05, 2017",0.153022,0.169831,0.146089,0.169715,"68,871,000","397,479,000"
"Aug 04, 2017",0.141490,0.154576,0.141490,0.153309,"55,315,400","367,515,000"
"Aug 03, 2017",0.136158,0.141812,0.134826,0.141693,"27,664,900","353,666,000"
"Aug 02, 2017",0.130978,0.142412,0.127180,0.135829,"49,563,800","340,206,000"
"Aug 01, 2017",0.123865,0.131272,0.120737,0.130344,"41,287,900","321,719,000"
"Jul 31, 2017",0.125402,0.126684,0.120475,0.124089,"30,474,300","325,712,000"
"Jul 30, 2017",0.133571,0.134407,0.125095,0.125821,"18,805,500","346,928,000"
"Jul 29, 2017",0.131434,0.134560,0.122328,0.133552,"39,748,500","341,372,000"
"Jul 28, 2017",0.139857,0.141703,0.128941,0.132606,"56,218,300","363,245,000"
"Jul 27, 2017",0.136653,0.141934,0.133738,0.139318,"47,770,900","354,918,000"
"Jul 26, 2017",0.135259,0.139011,0.118946,0.135242,"74,220,000","351,291,000"
"Jul 25, 2017",0.169484,0.171959,0.123648,0.134935,"94,408,800","440,178,000"
"Jul 24, 2017",0.171096,0.173965,0.159125,0.170034,"56,439,400","444,357,000"
