Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",23.22,23.22,21.36,22.50,"404,095","113,969,000"
"Dec 01, 2017",21.19,25.21,19.98,23.23,"274,557","103,992,000"
"Nov 30, 2017",20.85,23.06,18.39,21.29,"219,590","102,295,000"
"Nov 29, 2017",24.01,25.29,19.09,20.54,"608,313","117,746,000"
"Nov 28, 2017",25.25,25.76,22.99,24.03,"472,682","123,829,000"
"Nov 27, 2017",23.26,25.99,23.12,25.19,"321,126","114,013,000"
"Nov 26, 2017",23.42,24.39,22.48,23.25,"224,913","114,747,000"
"Nov 25, 2017",21.53,23.92,21.51,23.42,"129,717","105,454,000"
"Nov 24, 2017",21.37,21.71,20.77,21.57,"73,243","104,686,000"
"Nov 23, 2017",21.80,22.51,21.08,21.17,"107,818","106,725,000"
"Nov 22, 2017",21.10,22.85,20.54,21.94,"132,573","103,264,000"
"Nov 21, 2017",22.25,23.35,20.26,20.82,"249,937","108,887,000"
"Nov 20, 2017",22.72,23.28,21.94,22.25,"61,190","111,157,000"
"Nov 19, 2017",22.05,23.68,21.71,23.30,"165,882","107,816,000"
"Nov 18, 2017",20.66,22.84,19.90,22.09,"87,304","101,008,000"
"Nov 17, 2017",21.19,22.97,20.40,20.74,"134,142","103,563,000"
"Nov 16, 2017",22.72,23.27,20.95,21.22,"359,285","111,009,000"
"Nov 15, 2017",21.93,23.69,21.47,22.66,"192,347","107,112,000"
"Nov 14, 2017",22.62,23.33,20.66,21.80,"190,798","110,440,000"
"Nov 13, 2017",19.66,23.14,19.65,22.57,"137,086","95,954,800"
"Nov 12, 2017",21.45,21.55,18.07,19.63,"149,801","104,669,000"
"Nov 11, 2017",22.56,23.91,21.32,21.71,"241,162","110,067,000"
"Nov 10, 2017",28.34,28.99,21.10,22.66,"843,450","138,230,000"
"Nov 09, 2017",28.66,31.25,25.19,28.22,"1,122,350","139,730,000"
"Nov 08, 2017",19.90,30.39,18.85,28.52,"1,516,350","96,988,800"
"Nov 07, 2017",18.23,21.38,18.23,19.96,"252,070","88,863,600"
"Nov 06, 2017",19.14,19.56,17.53,18.10,"124,189","93,248,600"
"Nov 05, 2017",18.11,19.98,17.65,18.65,"166,370","88,222,500"
"Nov 04, 2017",17.62,19.36,17.15,18.15,"205,548","85,787,600"
"Nov 03, 2017",17.21,18.40,17.02,17.46,"109,031","83,786,500"
"Nov 02, 2017",17.23,21.55,16.64,17.23,"599,020","83,833,100"
"Nov 01, 2017",19.00,19.00,15.99,17.21,"426,011","92,441,600"
"Oct 31, 2017",17.98,21.33,17.82,19.15,"332,315","87,450,700"
"Oct 30, 2017",18.16,18.46,17.29,17.78,"75,136","88,301,500"
"Oct 29, 2017",17.97,18.89,17.01,18.27,"156,347","87,337,100"
"Oct 28, 2017",18.79,20.44,17.50,18.17,"157,646","91,323,100"
"Oct 27, 2017",19.65,20.72,17.77,18.23,"148,110","95,479,100"
"Oct 26, 2017",20.78,21.31,19.03,19.65,"236,319","100,930,000"
"Oct 25, 2017",20.64,21.09,19.41,20.95,"176,991","100,219,000"
"Oct 24, 2017",19.54,23.53,18.22,20.63,"328,349","94,838,900"
"Oct 23, 2017",24.16,24.64,19.36,19.45,"140,836","117,261,000"
"Oct 22, 2017",24.05,24.26,20.41,24.20,"134,983","116,677,000"
"Oct 21, 2017",21.78,26.20,21.76,23.44,"335,882","105,617,000"
"Oct 20, 2017",21.04,23.00,19.67,21.35,"49,535","101,988,000"
"Oct 19, 2017",20.72,21.28,19.51,21.17,"80,997","100,448,000"
"Oct 18, 2017",20.62,20.83,17.65,20.73,"60,192","99,913,900"
