Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",23.17,23.35,21.68,22.43,"3,068,200","202,640,000"
"Dec 01, 2017",23.19,23.25,20.96,23.23,"4,852,030","202,810,000"
"Nov 30, 2017",20.25,23.60,18.57,23.39,"6,917,800","177,046,000"
"Nov 29, 2017",23.56,25.36,19.01,19.58,"9,147,160","206,015,000"
"Nov 28, 2017",22.94,25.13,22.79,23.66,"6,776,520","200,637,000"
"Nov 27, 2017",22.76,23.52,21.90,22.88,"4,196,830","199,001,000"
"Nov 26, 2017",23.43,23.47,21.77,22.91,"4,562,490","204,909,000"
"Nov 25, 2017",22.13,23.64,22.13,23.34,"4,208,370","193,521,000"
"Nov 24, 2017",21.93,22.45,21.00,22.12,"4,548,280","191,788,000"
"Nov 23, 2017",22.74,24.10,21.84,21.84,"6,263,550","198,873,000"
"Nov 22, 2017",19.93,23.15,19.75,22.92,"7,285,730","174,334,000"
"Nov 21, 2017",19.50,20.95,18.22,19.79,"3,982,040","170,572,000"
"Nov 20, 2017",18.81,19.78,18.43,19.39,"3,939,130","164,502,000"
"Nov 19, 2017",18.56,19.92,18.53,18.88,"3,214,330","162,287,000"
"Nov 18, 2017",18.47,19.37,17.91,18.55,"3,659,840","161,516,000"
"Nov 17, 2017",18.78,19.21,17.35,18.38,"6,094,750","164,263,000"
"Nov 16, 2017",19.34,21.60,18.66,19.05,"10,068,500","169,157,000"
"Nov 15, 2017",17.91,21.46,17.10,19.37,"7,185,410","156,634,000"
"Nov 14, 2017",16.88,18.20,16.86,17.86,"2,772,270","147,603,000"
"Nov 13, 2017",16.24,18.30,16.18,16.81,"4,780,390","142,029,000"
"Nov 12, 2017",20.30,21.08,15.70,16.18,"6,862,910","177,486,000"
"Nov 11, 2017",17.50,19.98,17.19,19.98,"5,825,590","153,055,000"
"Nov 10, 2017",21.45,22.56,16.53,17.54,"9,689,210","187,610,000"
"Nov 09, 2017",17.00,22.93,16.86,21.28,"9,168,790","148,644,000"
"Nov 08, 2017",16.52,17.85,15.24,16.99,"5,323,950","144,464,000"
"Nov 07, 2017",15.95,16.92,15.07,16.54,"5,096,930","139,441,000"
"Nov 06, 2017",14.42,16.30,13.93,16.09,"5,425,720","126,073,000"
"Nov 05, 2017",14.26,14.56,13.58,14.31,"4,823,260","124,708,000"
"Nov 04, 2017",14.51,14.65,13.32,14.15,"5,342,760","126,925,000"
"Nov 03, 2017",11.65,16.33,11.41,14.53,"11,658,900","101,848,000"
"Nov 02, 2017",12.54,13.19,11.47,11.63,"6,274,120","109,707,000"
"Nov 01, 2017",14.51,14.55,12.42,12.57,"4,924,490","126,928,000"
"Oct 31, 2017",15.34,15.55,14.19,14.58,"3,827,220","134,134,000"
"Oct 30, 2017",14.61,16.13,14.60,15.30,"3,978,210","127,756,000"
"Oct 29, 2017",14.88,15.84,14.61,14.67,"3,778,790","130,120,000"
"Oct 28, 2017",15.49,16.00,14.87,14.89,"3,879,950","135,503,000"
"Oct 27, 2017",15.08,15.62,14.46,15.48,"3,593,930","131,908,000"
"Oct 26, 2017",15.48,15.56,14.69,15.10,"2,521,090","135,342,000"
"Oct 25, 2017",16.06,16.17,14.95,15.47,"1,137,840","140,434,000"
"Oct 24, 2017",15.01,16.64,14.37,15.94,"3,946,660","131,288,000"
"Oct 23, 2017",15.19,15.26,14.33,15.03,"1,481,280","132,805,000"
"Oct 22, 2017",15.23,15.69,14.73,15.21,"1,348,230","133,157,000"
"Oct 21, 2017",15.31,15.64,14.20,15.22,"2,034,400","133,866,000"
"Oct 20, 2017",15.93,16.07,14.98,15.33,"2,499,680","139,326,000"
"Oct 19, 2017",16.68,16.75,15.36,15.93,"1,828,120","145,837,000"
"Oct 18, 2017",15.86,16.83,15.41,16.70,"2,206,280","138,712,000"
"Oct 17, 2017",16.55,16.71,15.74,15.81,"1,647,080","144,712,000"
"Oct 16, 2017",17.13,17.46,15.78,16.56,"2,233,920","149,802,000"
"Oct 15, 2017",16.48,17.74,15.80,17.09,"2,751,450","144,077,000"
"Oct 14, 2017",16.95,16.99,15.87,16.46,"1,554,970","148,268,000"
"Oct 13, 2017",16.42,17.07,15.37,16.91,"2,706,360","143,576,000"
"Oct 12, 2017",16.69,17.25,15.83,16.37,"2,457,100","145,995,000"
"Oct 11, 2017",15.99,17.33,15.81,16.67,"1,942,360","139,850,000"
"Oct 10, 2017",15.49,16.18,15.20,15.97,"2,628,550","135,435,000"
"Oct 09, 2017",16.59,17.56,15.39,15.44,"3,143,110","145,062,000"
"Oct 08, 2017",18.45,18.50,16.30,16.48,"2,321,920","161,347,000"
"Oct 07, 2017",17.60,18.85,17.46,18.52,"2,089,070","153,921,000"
"Oct 06, 2017",18.14,18.28,17.03,17.62,"2,179,890","158,662,000"
"Oct 05, 2017",17.05,18.11,16.33,18.11,"1,840,770","149,130,000"
"Oct 04, 2017",16.83,18.69,16.83,17.06,"2,927,170","147,201,000"
"Oct 03, 2017",17.11,17.66,15.57,16.82,"2,876,690","149,648,000"
"Oct 02, 2017",17.95,18.15,16.81,17.07,"2,593,250","157,005,000"
"Oct 01, 2017",18.46,18.60,17.77,17.96,"2,310,450","161,432,000"
"Sep 30, 2017",18.34,19.15,18.27,18.46,"2,177,150","160,380,000"
"Sep 29, 2017",19.17,19.23,17.71,18.33,"1,962,570","167,637,000"
"Sep 28, 2017",19.81,19.92,19.05,19.19,"1,825,390","173,214,000"
"Sep 27, 2017",17.60,20.13,17.49,19.81,"3,594,630","153,949,000"
"Sep 26, 2017",17.31,17.96,17.14,17.60,"2,491,610","151,341,000"
