Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",1.05,1.10,1.03,1.05,"1,373,290","65,258,800"
"Dec 01, 2017",0.966208,1.10,0.946878,1.05,"1,406,090","60,005,000"
"Nov 30, 2017",0.950743,1.10,0.857004,0.979356,"1,473,910","59,040,100"
"Nov 29, 2017",1.08,1.30,0.927232,0.932741,"4,181,750","67,162,100"
"Nov 28, 2017",1.20,1.20,1.07,1.08,"2,447,300","74,616,400"
"Nov 27, 2017",1.14,1.34,1.08,1.19,"6,893,120","70,611,400"
"Nov 26, 2017",0.924174,1.26,0.895800,1.14,"14,282,900","57,372,600"
"Nov 25, 2017",0.854059,0.929955,0.847369,0.924450,"788,185","53,015,600"
"Nov 24, 2017",0.859390,0.877558,0.834546,0.854168,"599,449","53,342,700"
"Nov 23, 2017",0.857582,0.880973,0.847365,0.864375,"755,095","53,226,800"
"Nov 22, 2017",0.877148,0.918892,0.828030,0.857763,"1,488,890","54,437,100"
"Nov 21, 2017",0.809295,0.895250,0.769753,0.875157,"1,264,670","50,222,100"
"Nov 20, 2017",0.837892,0.860537,0.802279,0.802279,"813,167","51,992,800"
"Nov 19, 2017",0.837892,0.883371,0.823425,0.839635,"1,125,330","51,989,300"
"Nov 18, 2017",0.821062,0.879372,0.772874,0.839095,"1,021,980","50,942,400"
"Nov 17, 2017",0.786128,0.870383,0.783557,0.816347,"1,031,240","48,771,900"
"Nov 16, 2017",0.854261,0.888219,0.788114,0.788114,"1,118,600","52,994,900"
"Nov 15, 2017",0.831535,0.881631,0.807664,0.847551,"1,299,850","51,581,200"
"Nov 14, 2017",0.821000,0.850136,0.806881,0.826279,"842,411","50,924,300"
"Nov 13, 2017",0.683923,0.843932,0.683737,0.819247,"1,576,320","42,418,900"
"Nov 12, 2017",0.765645,0.772330,0.647082,0.684424,"1,195,040","47,484,900"
"Nov 11, 2017",0.791206,0.847450,0.740386,0.769976,"927,587","49,066,800"
"Nov 10, 2017",0.926948,0.956225,0.750138,0.796376,"1,360,130","57,480,800"
"Nov 09, 2017",0.933924,1.00,0.916485,0.924505,"1,756,330","57,909,200"
"Nov 08, 2017",0.791373,1.03,0.788285,0.937307,"2,930,160","49,066,700"
"Nov 07, 2017",0.780881,0.808712,0.753867,0.797604,"666,441","48,412,700"
"Nov 06, 2017",0.798273,0.812876,0.762091,0.776917,"931,340","49,487,600"
"Nov 05, 2017",0.810499,0.847907,0.763884,0.797445,"900,288","50,241,900"
"Nov 04, 2017",0.779389,0.835724,0.772512,0.805043,"889,253","48,310,200"
"Nov 03, 2017",0.747176,0.868296,0.739412,0.791695,"1,324,960","46,310,100"
"Nov 02, 2017",0.824189,0.836190,0.669297,0.748155,"2,021,510","51,079,800"
