Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",6.47,7.91,6.29,7.77,"28,497,100","270,005,000"
"Dec 01, 2017",5.37,6.69,5.23,6.43,"21,568,900","223,613,000"
"Nov 30, 2017",5.00,5.77,4.77,5.34,"9,926,690","208,385,000"
"Nov 29, 2017",5.14,5.85,4.55,4.93,"11,544,500","214,111,000"
"Nov 28, 2017",5.41,5.50,5.09,5.09,"8,342,690","225,045,000"
"Nov 27, 2017",5.44,5.71,5.18,5.37,"10,687,800","226,294,000"
"Nov 26, 2017",4.93,6.24,4.64,5.47,"49,734,500","204,915,000"
"Nov 25, 2017",3.99,5.03,3.99,4.69,"13,242,900","165,712,000"
"Nov 24, 2017",4.06,4.08,3.91,3.98,"5,140,870","168,529,000"
"Nov 23, 2017",4.11,4.20,3.95,4.09,"5,146,550","170,447,000"
"Nov 22, 2017",3.98,4.27,3.94,4.10,"7,211,950","164,664,000"
"Nov 21, 2017",4.02,4.18,3.81,3.95,"6,541,270","166,302,000"
"Nov 20, 2017",4.23,4.27,3.97,4.04,"6,888,960","175,003,000"
"Nov 19, 2017",4.30,4.55,4.07,4.22,"6,758,010","177,817,000"
"Nov 18, 2017",4.17,4.74,4.00,4.32,"8,982,810","172,186,000"
"Nov 17, 2017",4.22,4.35,4.03,4.15,"6,275,620","174,207,000"
"Nov 16, 2017",4.40,4.47,4.08,4.16,"9,180,750","181,508,000"
"Nov 15, 2017",4.36,4.67,4.07,4.42,"10,365,300","179,531,000"
"Nov 14, 2017",4.46,4.57,4.21,4.31,"6,620,560","183,799,000"
"Nov 13, 2017",3.79,4.67,3.79,4.45,"21,777,600","155,884,000"
"Nov 12, 2017",4.33,4.33,3.36,3.75,"12,602,700","177,986,000"
"Nov 11, 2017",4.11,4.68,3.89,4.32,"12,435,700","169,105,000"
"Nov 10, 2017",4.78,4.84,3.77,4.19,"18,133,700","196,471,000"
"Nov 09, 2017",4.62,5.23,4.62,4.84,"25,576,900","189,780,000"
"Nov 08, 2017",3.57,5.21,3.48,4.65,"36,091,000","146,433,000"
"Nov 07, 2017",3.65,3.69,3.34,3.61,"8,565,110","149,776,000"
"Nov 06, 2017",3.65,3.98,3.61,3.66,"11,673,900","149,680,000"
